,Authorname,Likes,Quote
0,    Oscar Wilde  ,159729 likes,      “Be yourself; everyone else is already taken.”  
1,    Marilyn Monroe  ,156768 likes,"      “I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”  "
2,    Albert Einstein  ,139109 likes,      “Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”  
3,    Frank Zappa  ,136740 likes,"      “So many books, so little time.”  "
4,    Marcus Tullius Cicero  ,126781 likes,      “A room without books is like a body without a soul.”  
5,    Bernard M. Baruch  ,124602 likes,"      “Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”  "
6,    William W. Purkey  ,122645 likes,"      “You've gotta dance like there's nobody watching,"
7,    Dr. Seuss  ,119604 likes,      “You know you're in love when you can't fall asleep because reality is finally better than your dreams.”  
8,    Mae West  ,112402 likes,"      “You only live once, but if you do it right, once is enough.”  "
9,    Mahatma Gandhi  ,110150 likes,      “Be the change that you wish to see in the world.”  
10,    Robert Frost  ,104360 likes,      “In three words I can sum up everything I've learned about life: it goes on.”  
11,"    J.K. Rowling,  ",98857 likes,"      “If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”  "
12,Harry Potter and the Goblet of Fire,98857 likes,"      “If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”  "
13,    Albert Camus  ,88809 likes,      “Don’t walk in front of me… I may not follow
14,    Mark Twain  ,87319 likes,"      “If you tell the truth, you don't have to remember anything.”  "
15,"    C.S. Lewis,  ",85764 likes,"      “Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”  "
16,The Four Loves,85764 likes,"      “Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”  "
17,    Maya Angelou  ,83092 likes,"      “I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”  "
18,    Elbert Hubbard  ,80774 likes,      “A friend is someone who knows all about you and still loves you.”  
19,    Oscar Wilde  ,78179 likes,      “Always forgive your enemies; nothing annoys them so much.”  
20,    Oscar Wilde  ,78059 likes,"      “To live is the rarest thing in the world. Most people exist, that is all.”  "
21,    Mahatma Gandhi  ,75112 likes,      “Live as if you were to die tomorrow. Learn as if you were to live forever.”  
22,"    Martin Luther King Jr.,  ",75034 likes,      “Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”  
23,A Testament of Hope: The Essential Writings and Speeches,75034 likes,      “Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”  
24,"    Friedrich Nietzsche,  ",70172 likes,"      “Without music, life would be a mistake.”  "
25,Twilight of the Idols,70172 likes,"      “Without music, life would be a mistake.”  "
26,"    Stephen Chbosky,  ",70153 likes,      “We accept the love we think we deserve.”  
27,The Perks of Being a Wallflower,70153 likes,      “We accept the love we think we deserve.”  
28,"    Oscar Wilde,  ",69092 likes,      “I am so clever that sometimes I don't understand a single word of what I am saying.”  
29,The Happy Prince and Other Stories,69092 likes,      “I am so clever that sometimes I don't understand a single word of what I am saying.”  
30,    Ralph Waldo Emerson  ,67066 likes,      “To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”  
31,    Rob Siltanen  ,66306 likes,"      “Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”  "
32,    Narcotics Anonymous  ,63017 likes,"      “Insanity is doing the same thing, over and over again, but expecting different results.”  "
33,    Marilyn Monroe  ,60655 likes,"      “I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”  "
34,"    H. Jackson Brown Jr.,  ",58292 likes,      “Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”  
35,P.S. I Love You,58292 likes,      “Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”  
36,"    Andre Gide,  ",57865 likes,      “It is better to be hated for what you are than to be loved for what you are not.”  
37,Autumn Leaves,57865 likes,      “It is better to be hated for what you are than to be loved for what you are not.”  
